id,species,sex,fat,wing,mass,date,time,tarsus,duration,condition,julian,year
1,MYWA,F,4,72,16,5/8/09,7:10,18.4,,1.525684636,128,2009
2,NOWA,M,3,76,15.9,5/6/09,11:10,21.6,,-2.829118659,126,2009
3,MYWA,M,3,74,13.7,5/6/09,11:50,18.3,6,-0.814814365,126,2009
4,MYWA,M,3,77,13.4,5/8/09,7:10,18,4,-1.161938277,128,2009
5,NOWA,F,3,72,17.1,5/21/09,7:40,20.7,3,-0.962487542,141,2009
6,NOWA,,4,77,21.7,5/11/09,6:30,22.3,2,2.642974765,131,2009
7,NOWA,M,2,75,18.3,5/11/09,7:30,22,1,-0.474630348,131,2009
8,MYWA,M,0,73,11.8,4/28/09,7:00,19.7,2,-2.817186164,118,2009
9,MYWA,F,3,69,13.7,5/2/09,9:10,18.4,9,-0.699942274,122,2009
10,MYWA,F,5,72,16.7,5/4/09,7:40,18.6,1,2.207518518,124,2009
11,MYWA,M,4,73,14.2,5/4/09,8:10,17.8,1,-0.244608039,124,2009
12,NOWA,,0,77,17.8,4/24/09,9:30,22.5,5,-1.324919465,114,2009
13,MYWA,M,3,72,12.9,4/25/09,9:30,17.2,,-1.465318653,115,2009
14,MYWA,M,4,79,15,4/26/09,7:20,18.8,,0.315815189,116,2009
15,NOWA,,0,77,17.1,4/28/09,7:00,22.7,,-2.092813694,118,2009
16,NOWA,F,4,73,18.6,5/17/09,8:20,21.8,4,0.073817423,137,2009
17,MYWA,M,2,74,13.5,4/28/09,7:30,19.5,7,-1.123811075,118,2009
18,MYWA,M,3,75,13.5,4/28/09,10:10,18.1,5,-1.021439276,118,2009
19,MYWA,M,2,75,13.2,4/30/09,10:10,18.9,5,-1.39410375,120,2009
20,MYWA,F,4,72,14.9,5/2/09,8:10,18.5,3,0.416601577,122,2009
21,NOWA,,3,75,18.4,5/21/09,7:00,21.7,5,-0.272789003,141,2009
22,NOWA,,4,72,18.6,5/6/09,7:50,22.2,6,0.028305735,126,2009
23,NOWA,,3,68,16.6,5/24/09,6:00,21.2,,-1.271116033,144,2009
24,NOWA,M,1,75,17.7,5/21/09,6:20,21.6,,-0.938841889,141,2009
25,NOWA,,0,77,15.5,4/30/09,11:40,21.7,,-3.353342545,120,2009
26,NOWA,M,4,72,18.4,5/6/09,7:40,21.5,,0.065935539,126,2009
27,NOWA,,4,69,18.6,5/17/09,9:50,20.4,6,0.910184116,137,2009
