point,time,cars,species,count
1,4:42,0,AMRO,2
1,4:42,0,COYE,3
1,4:42,0,MAWR,3
1,4:42,0,SOSP,2
1,4:42,0,SPTO,1
2,4:48,0,AMRO,2
2,4:48,0,BAEA,2
2,4:48,0,BCCH,2
2,4:48,0,BHGR,1
2,4:48,0,COYE,2
2,4:48,0,SPTO,3
2,4:48,0,SWTH,1
2,4:48,0,TRES,1
2,4:48,0,WIFL,2
3,4:53,0,AMCR,1
3,4:53,0,AMRO,3
3,4:53,0,CEDW,2
3,4:53,0,COYE,3
3,4:53,0,MAWR,2
3,4:53,0,SAVS,1
3,4:53,0,SOSP,1
3,4:53,0,SPTO,2
3,4:53,0,YEWA,1
4,4:58,0,AMRO,2
4,4:58,0,BARS,1
4,4:58,0,COYE,1
4,4:58,0,MAWR,2
4,4:58,0,SAVS,5
4,4:58,0,SOSP,1
4,4:58,0,TRES,1
5,5:04,0,BCCH,1
5,5:04,0,BHCO,1
5,5:04,0,BHGR,1
5,5:04,0,COYE,2
5,5:04,0,PSWS,1
5,5:04,0,RNEP,1
5,5:04,0,RTHA,1
5,5:04,0,SAVS,2
5,5:04,0,SOSP,3
5,5:04,0,TRES,1
5,5:04,0,WAVI,1
6,5:09,1,AMCR,2
6,5:09,1,AMGO,1
6,5:09,1,AMRO,3
6,5:09,1,BCCH,3
6,5:09,1,BEWR,1
6,5:09,1,BHGR,1
6,5:09,1,CEDW,1
6,5:09,1,EUST,1
6,5:09,1,KILL,1
6,5:09,1,RECR,1
6,5:09,1,SAVS,1
6,5:09,1,SPTO,1
6,5:09,1,TRES,2
7,5:15,1,AMCR,2
7,5:15,1,AMGO,1
7,5:15,1,BCCH,1
7,5:15,1,BEKI,1
7,5:15,1,BHGR,1
7,5:15,1,COYE,3
7,5:15,1,EUST,3
7,5:15,1,MALL,1
7,5:15,1,MAWR,1
7,5:15,1,RWBL,1
7,5:15,1,SOSP,1
7,5:15,1,TRES,1
7,5:15,1,WIFL,2
7,5:15,1,YEWA,1
8,5:23,0,AMCR,3
8,5:23,0,AMRO,2
8,5:23,0,BCCH,2
8,5:23,0,DEJU,1
8,5:23,0,EUCD,2
8,5:23,0,EUST,2
8,5:23,0,HOFI,3
8,5:23,0,NRWS,1
8,5:23,0,PIWO,1
8,5:23,0,PSWS,2
8,5:23,0,SPTO,2
8,5:23,0,STJA,1
8,5:23,0,TRES,1
8,5:23,0,VGSW,1
9,5:28,0,AMGO,1
9,5:28,0,AMRO,3
9,5:28,0,BHGR,1
9,5:28,0,EUCD,1
9,5:28,0,RWBL,1
9,5:28,0,SOSP,2
9,5:28,0,SPTO,2
9,5:28,0,STJA,2
9,5:28,0,SWTH,1
10,5:34,0,AMCR,3
10,5:34,0,AMGO,2
10,5:34,0,ANHU,1
10,5:34,0,BCCH,2
10,5:34,0,BEWR,1
10,5:34,0,BRCR,1
10,5:34,0,CBCH,1
10,5:34,0,COYE,1
10,5:34,0,PUFI,1
10,5:34,0,SPTO,1
10,5:34,0,SWTH,3
10,5:34,0,TRES,1
10,5:34,0,VGSW,1
10,5:34,0,WEWP,1
11,5:39,0,AMCR,2
11,5:39,0,AMRO,3
11,5:39,0,BEWR,2
11,5:39,0,BHGR,3
11,5:39,0,CBCH,1
11,5:39,0,DEJU,1
11,5:39,0,EUCD,2
11,5:39,0,EUST,2
11,5:39,0,PSWS,1
11,5:39,0,STJA,1
11,5:39,0,WETA,1
12,5:45,4,AMGO,1
12,5:45,4,AMRO,3
12,5:45,4,BCCH,2
12,5:45,4,BEWR,1
12,5:45,4,CBCH,2
12,5:45,4,DEJU,1
12,5:45,4,EUST,2
12,5:45,4,SOSP,1
12,5:45,4,SPTO,2
12,5:45,4,STJA,1
12,5:45,4,SWTH,1
12,5:45,4,WIFL,2
13,5:50,0,AMGO,3
13,5:50,0,AMRO,2
13,5:50,0,BARS,1
13,5:50,0,BHCO,1
13,5:50,0,PIWO,1
13,5:50,0,RWBL,1
13,5:50,0,SOSP,1
13,5:50,0,SPTO,1
13,5:50,0,WIFL,3
14,5:56,0,AMCR,1
14,5:56,0,AMGO,1
14,5:56,0,AMRO,2
14,5:56,0,BARS,2
14,5:56,0,HOSP,2
14,5:56,0,OSFL,1
14,5:56,0,PSWS,4
14,5:56,0,RTHA,1
14,5:56,0,SPTO,1
14,5:56,0,STJA,1
14,5:56,0,WIFL,5
15,6:02,2,AMCR,4
15,6:02,2,AMRO,2
15,6:02,2,ANHU,1
15,6:02,2,BARS,1
15,6:02,2,CBCH,2
15,6:02,2,DEJU,2
15,6:02,2,GCKI,1
15,6:02,2,RBSA,2
15,6:02,2,SOSP,1
15,6:02,2,SPTO,2
16,6:08,1,AMCR,1
16,6:08,1,AMGO,1
16,6:08,1,AMRO,3
16,6:08,1,BHCO,1
16,6:08,1,BHGR,1
16,6:08,1,CBCH,1
16,6:08,1,SOSP,1
16,6:08,1,SPTO,1
16,6:08,1,WEWP,1
17,6:13,0,AMRO,3
17,6:13,0,BCCH,1
17,6:13,0,BHGR,1
17,6:13,0,CBCH,1
17,6:13,0,CEDW,1
17,6:13,0,HOFI,1
17,6:13,0,NOFL,1
17,6:13,0,PSWS,2
17,6:13,0,RBNU,1
17,6:13,0,SOSP,2
17,6:13,0,SPTO,2
17,6:13,0,WIFL,1
18,6:19,9,AMRO,2
18,6:19,9,BEWR,1
18,6:19,9,BHGR,1
18,6:19,9,CBCH,1
18,6:19,9,DEJU,2
18,6:19,9,EUST,1
18,6:19,9,PUFI,1
18,6:19,9,RBSA,1
18,6:19,9,ROPI,4
18,6:19,9,RWBL,1
18,6:19,9,SPTO,1
18,6:19,9,SWTH,1
18,6:19,9,WEWP,2
19,6:24,3,AMCR,4
19,6:24,3,AMRO,2
19,6:24,3,BHCO,1
19,6:24,3,DEJU,1
19,6:24,3,HOFI,1
19,6:24,3,HOSP,1
19,6:24,3,RWBL,2
19,6:24,3,SPTO,1
19,6:24,3,VASW,2
20,6:31,1,AMCR,1
20,6:31,1,AMRO,3
20,6:31,1,BCCH,1
20,6:31,1,BEWR,1
20,6:31,1,BHCO,2
20,6:31,1,CBCH,1
20,6:31,1,HAWO,1
20,6:31,1,SPTO,3
20,6:31,1,STJA,1
21,6:37,4,AMRO,2
21,6:37,4,BARS,1
21,6:37,4,BHCO,3
21,6:37,4,BHGR,1
21,6:37,4,COYE,2
21,6:37,4,HOSP,1
21,6:37,4,RWBL,1
21,6:37,4,SOSP,1
21,6:37,4,SPTO,2
22,6:43,2,AMGO,1
22,6:43,2,AMRO,2
22,6:43,2,BRBL,3
22,6:43,2,HOFI,1
22,6:43,2,HOSP,1
22,6:43,2,PISI,1
22,6:43,2,PSWS,2
22,6:43,2,RECR,1
22,6:43,2,SPTO,1
22,6:43,2,WAVI,1
23,6:48,5,AMRO,2
23,6:48,5,BARS,1
23,6:48,5,BCCH,1
23,6:48,5,BHGR,1
23,6:48,5,EUST,5
23,6:48,5,HOSP,3
23,6:48,5,PSWS,1
23,6:48,5,SWTH,1
24,6:53,3,AMGO,1
24,6:53,3,AMRO,2
24,6:53,3,COYE,1
24,6:53,3,GCKI,1
24,6:53,3,PSWS,1
24,6:53,3,PUFI,1
24,6:53,3,RWBL,1
24,6:53,3,SOSP,2
24,6:53,3,SPTO,2
24,6:53,3,SWTH,2
25,7:00,2,AMRO,3
25,7:00,2,DOWO,1
25,7:00,2,PAWR,1
25,7:00,2,PSFL,1
25,7:00,2,SPTO,1
25,7:00,2,STJA,1
25,7:00,2,SWTH,1
25,7:00,2,WETA,1
25,7:00,2,WEWP,1
26,7:07,4,BHGR,1
26,7:07,4,CEDW,2
26,7:07,4,KILL,1
26,7:07,4,SPTO,1
26,7:07,4,SWTH,2
27,7:12,0,AMCR,1
27,7:12,0,AMGO,1
27,7:12,0,AMRO,2
27,7:12,0,BHCO,1
27,7:12,0,BHGR,1
27,7:12,0,CORA,2
27,7:12,0,EUST,1
27,7:12,0,GCKI,1
27,7:12,0,OCWA,1
27,7:12,0,PSFL,1
27,7:12,0,RECR,1
27,7:12,0,SPTO,1
27,7:12,0,SWTH,1
27,7:12,0,VGSW,2
28,7:17,0,AMCR,1
28,7:17,0,AMRO,2
28,7:17,0,BTYW,1
28,7:17,0,CBCH,1
28,7:17,0,CORA,1
28,7:17,0,DEJU,1
28,7:17,0,PSFL,1
28,7:17,0,PUFI,2
28,7:17,0,RBSA,1
28,7:17,0,SPTO,2
28,7:17,0,SWTH,1
28,7:17,0,WIWA,1
29,7:22,0,AMRO,2
29,7:22,0,BARS,2
29,7:22,0,BHCO,1
29,7:22,0,BHGR,2
29,7:22,0,CEDW,1
29,7:22,0,MODO,1
29,7:22,0,PSFL,1
